name, dam, sire, sex, year
Aberyswyth The Three Cedars,Red Charming Lady v.Boncilla,Bymil Black Treacle, Male, 
Abiding Avantgarde Dummles,Brawos Bis Bahama,Uszaki Big Beat, Female, 2008 
Abigail,Chandler's Brindle Bedazzler,Pecan Valley Stop Light, Female, 2003 
Abigail Of Legate's,Sisterwood's About Face,Bearwoods Jiminy Cricket, Female, 1996 
Abigail Scott Of S Acton,,, Female, 1986 
Abigail Tailorscardi,Beautiful Dream Kasmir Moravia,Hashfan Villfred, Female, 2017 
Abigail v.Boncilla,Cilla von Wassenaer,Red Oak's Black Dragon, Female, 1980 
Abigail v.d. Matten,Daisy v. Voerder L�ndchen,Jezalin Top Jester, Female, 1985 
Abigial David Of Cerridwen,Davenitch Rhiannon Latte,Kennebec Everybody Loves..., Female, 2008 
Able Berry v.d.Besthemer Molen,Maica v.d. Besthemer Molen,Kentwood Cedric, Male, 
Able Brenda v.d.Besthemer Molen,Maica v.d. Besthemer Molen,Kentwood Cedric, Female, 
Able Cedric v.d.Besthemer Molen,Maica v.d. Besthemer Molen,Kentwood Cedric, Male, 
Able Pedro v.d.Besthemer Molen,Maica v.d. Besthemer Molen,Kentwood Cedric, Male, 
Able Rodger v.d.Besthemer Molen,Maica v.d. Besthemer Molen,Kentwood Cedric, Male, 
Able Toby v.d.Besthemer Molen,Maica v.d. Besthemer Molen,Kentwood Cedric, Male, 
ABSOLUT PAUER,Zamok Svyatogo Angela Bina,APRIORI VIP BRITISH SPAY, Male, 2019 
Absolute Adorable,Imme's Faisty Filly,Imme's Impressive Blue, Female, 2013 
Absolutny Zdobywca Controversia,Uchachana Uchatka Controversia,Faarup Kawasaki, Male, 2012 
Absyrtos Blue Halfred,So Silver from Shiel,Silver Frodo from Shiel, Male, 1964 
Absyrtos Blue Hobbit,So Silver from Shiel,Silver Frodo from Shiel, Male, 1964 
Absyrtos Blue Hyfwyn,So Silver from Shiel,Silver Frodo from Shiel, Female, 1964 
Absyrtos Blue Katanja,So Silver from Shiel,Umberto v.d.Kreitenheide, Female, 1967 
Absyrtos Blue Keen Raxia,So Silver from Shiel,Umberto v.d.Kreitenheide, Female, 1967 
Absyrtos Blue Kimbel,So Silver from Shiel,Umberto v.d.Kreitenheide, Male, 1967 
Absyrtos Heulwen,So Silver from Shiel,Silver Frodo from Shiel, Female, 1964 
Absyrtos Hyf Cora,So Silver from Shiel,Silver Frodo from Shiel, Female, 1964 
Absyrtos Hylon Morilla,So Silver from Shiel,Silver Frodo from Shiel, Female, 1964 
Absyrtos Hynaws Akka,So Silver from Shiel,Silver Frodo from Shiel, Male, 1964 
Absyrtos Knight Caspar,So Silver from Shiel,Umberto v.d.Kreitenheide, Male, 1967 
Absyrtos Kymric Katja,So Silver from Shiel,Umberto v.d.Kreitenheide, Female, 1967 
Absyrtos Kymric Kreeble,So Silver from Shiel,Umberto v.d.Kreitenheide, Female, 1967 
Abundance Uszaki Virgo Vestalis,Arena Z Ticheho Udoli,Bertram Corlan Gi, Female, 2009 
Abydos All I Need To Know,Abydos HG Angel Girl RBD HT,Heart Of Gold Good Wilbarger RN HSAs NA NAJ OAP AJP, Female, 2000 
Abydos Bob's Brindle At Last,,, Female, 2005 
Abydos Bronze Griffin,Abydos HG Angel Girl RBD HT,Heart of Gold Tell Me No Lies CD RE PT MX AXJ AXP AJP OF NFP, Male, 2004 
Abydos Bruce The Brave OAP AJP OFP,Abydos Want My Carnival Now PT,Camelot Spirit Of Westwind, Male, 2005 
Abydos Clandestine Of Randel,Abydos Want My Carnival Now PT,Abydos Twofoursixoone Hugo CD, Male, 2003 
Abydos Delightful Delia,Abydos HG Angel Girl RBD HT,Heartof Gold Makeitso Abydos CD PT HIC HCT JHD CGC TDI, Female, 1999 
Abydos Golden Snitch,Abydos Here Comes Bertrand,Larchmont's Bogus ROMs, Male, 2004 
Abydos Gone Sailing,Abydos Here Comes Bertrand,Larchmont's Bogus ROMs, Female, 2004 
Abydos Guardian Of The Gate    HT,Redbuds Flamekist CD PT,Heartof Gold Makeitso Abydos CD PT HIC HCT JHD CGC TDI, Male, 1997 
Abydos Hand Me Wine N Dice,Abydos HG Angels Touch RBD HT,Heart Of Gold Saint Nicholas HT PT RN HCT JHD CGC, Male, 1999 
Abydos Heart And Soul,Abydos HG Angel Girl RBD HT,Heart Of Gold Good Wilbarger RN HSAs NA NAJ OAP AJP, Male, 2000 
Abydos Here Comes Bertrand,Abydos HG Angel Girl RBD HT,Heart Of Gold Good Wilbarger RN HSAs NA NAJ OAP AJP, Female, 2000 
Abydos Hermione,Abydos Here Comes Bertrand,Larchmont's Bogus ROMs, Female, 2004 
Abydos HG Angel Girl RBD HT,Redbuds Flamekist CD PT,Heartof Gold Makeitso Abydos CD PT HIC HCT JHD CGC TDI, Female, 1997 
Abydos HG Angels Touch RBD HT,Redbuds Flamekist CD PT,Heartof Gold Makeitso Abydos CD PT HIC HCT JHD CGC TDI, Female, 1997 
Abydos Hot! Don'T Tell Me,Abydos HG Angel Girl RBD HT,Heart of Gold Tell Me No Lies CD RE PT MX AXJ AXP AJP OF NFP, Male, 2004 
Abydos Hunkahunka Burnin Luv,Abydos Here Comes Bertrand,Larchmont's Bogus ROMs, Male, 2004 
